iso_code,Country_name,new_cases,new_deaths,Import_2020,Export_2020
ABW,Aruba,5489.0,49.0,865,98
AFG,Afghanistan,52330.0,2189.0,7171,732
AGO,Angola,17553.0,405.0,9543,20937
AIA,Anguilla,13.0,0.0,210,11
ALB,Albania,58316.0,1181.0,5570,2506
ARE,United Arab Emirates,207822.0,669.0,225741,319278
ARG,Argentina,1625514.0,43245.0,42354,54884
ARM,Armenia,159409.0,2823.0,4559,2544
ATG,Antigua and Barbuda,159.0,5.0,494,22
AUS,Australia,28425.0,909.0,211109,250578
AUT,Austria,360815.0,6222.0,172200,168538
AZE,Azerbaijan,218700.0,2641.0,10731,13470
BDI,Burundi,818.0,2.0,909,162
BEL,Belgium,646496.0,19528.0,396132,419892
BEN,Benin,3251.0,44.0,3263,2316
BFA,Burkina Faso,6707.0,85.0,4117,4372
BGD,Bangladesh,513510.0,7559.0,52804,33605
BGR,Bulgaria,202266.0,7576.0,35038,31907
BHR,Bahrain,92675.0,352.0,12683,14066
BHS,Bahamas,7871.0,170.0,1937,354
BIH,Bosnia and Herzegovina,110985.0,4050.0,9873,6152
BLR,Belarus,194284.0,1424.0,32601,29034
BLZ,Belize,10776.0,248.0,787,287
BMU,Bermuda,604.0,10.0,785,11
BOL,Bolivia,160124.0,9165.0,7080,7015
BRA,Brazil,7681032.0,195072.0,166276,209878
BRB,Barbados,383.0,7.0,1518,345
BRN,Brunei,157.0,3.0,5342,6608
BTN,Bhutan,670.0,0.0,899,651
BWA,Botswana,14805.0,42.0,6516,4262
CAF,Central African Republic,4963.0,63.0,602,125
CAN,Canada,583232.0,15736.0,414165,390599
CHE,Switzerland,452296.0,7873.0,291981,319318
CHL,Chile,608973.0,16608.0,59226,73485
CHN,China,86524.0,4617.0,2057217,2590221
CIV,Ivory Coast,22490.0,137.0,10650,11922
CMR,Cameroon,26277.0,448.0,5364,3385
COD,"Congo, the Democratic Republic of the",17658.0,591.0,6663,14122
COG,Congo,7107.0,108.0,1866,3340
COL,Colombia,1642775.0,43213.0,43489,31008
COM,Comoros,823.0,10.0,280,21
CPV,Cape Verde,11840.0,113.0,720,53
CRI,Costa Rica,169321.0,2185.0,14942,12174
CUB,Cuba,11863.0,146.0,8165,2200
CYP,Cyprus,22346.0,120.0,8598,3057
CZE,Czech Republic,718661.0,11580.0,170584,192057
DEU,Germany,1746929.0,33791.0,1170441,1380647
DJI,Djibouti,5831.0,61.0,3425,2921
DMA,Dominica,88.0,0.0,213,14
DNK,Denmark,163479.0,1298.0,97561,108274
DOM,Dominican Republic,170785.0,2414.0,17047,10297
DZA,Algeria,99610.0,2756.0,35122,21617
ECU,Ecuador,212512.0,10182.0,17959,20227
EGY,Egypt,138062.0,7631.0,59843,26630
ERI,Eritrea,1320.0,3.0,976,556
ESP,Spain,1928265.0,50837.0,324994,307015
EST,Estonia,27990.0,229.0,17341,16381
ETH,Ethiopia,124264.0,1923.0,13115,3258
FIN,Finland,36422.0,592.0,68134,66192
FJI,Fiji,49.0,2.0,1732,828
FRA,France,2727705.0,64644.0,582564,488372
GAB,Gabon,9571.0,64.0,2937,4903
GBR,United Kingdom,2491790.0,73569.0,634742,404681
GEO,Georgia,227420.0,2505.0,8053,3343
GHA,Ghana,54771.0,335.0,12429,14472
