,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1658998,,,0
1,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,9833960,,,0
2,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,7459338,,,0
3,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,642965,,,0
4,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,46914614,,,0
5,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,5951816,,,0
6,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,10703,,,0
7,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,22518162,,,4
8,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,482233,,,0
9,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,12423,,,0
10,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,23973733,,,0
