,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,532718,,,0
1,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1511286,,,0
2,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,353609,,,0
3,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,15666900,,,0
4,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,28664162,,,0
5,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,7089275,,,0
6,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,588868,,,0
7,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,196384079,,,4
8,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,248434,,,4
9,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1572686,,,0
10,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,233881,,,0
11,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,105056,,,0
12,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,7488814,,,4
13,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,116264,,,0
14,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,7196959,,,0
15,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,21131573,,,0
16,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,3614476,,,0
17,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,263592493,,,0
18,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,7410215,,,0
19,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1632700,,,0
20,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,46191,,,0
21,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1285981,,,0
22,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,30876187,,,4
23,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,11508557,,,0
24,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,171169,,,0
25,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1428551,,,0
26,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,792,Turkey,TUR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,957827,,,0
27,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,826,United Kingdom,GBR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,50370466,,,4
28,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,106255,,,0
29,H5,2019,2019,2019,2,0,2,Export,56,Belgium,BEL,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,233045,,,0
