,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,242,,,0
1,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,50885,,,0
2,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4112501,,,0
3,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,36933468,,,0
4,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4544973195,,,0
5,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6413426,,,0
6,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6924,,,0
7,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2008422,,,0
8,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,37398115,,,4
9,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,705263,,,0
10,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1165985,,,0
