,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,18100,,,0
1,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,9355516,,,0
2,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,117211146,,,0
3,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,45,,,0
4,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,9213498,,,4
5,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,65310722,,,0
6,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,850706662,,,0
7,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,123724251,,,0
8,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,111609235,,,0
9,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,27555272,,,0
10,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,931152,,,0
11,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,228252,,,0
12,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,7152,,,0
13,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,397174,,,0
14,H5,2019,2019,2019,2,0,2,Export,76,Brazil,BRA,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,154605508,,,0
