,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2211,,,4
1,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,329838,,,4
2,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,234965,,,4
3,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,474129,,,4
4,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,6677259,,,0
5,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5928226,,,0
6,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,223014,,,0
7,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,7027674,,,0
8,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,767865,,,0
9,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,13128266,,,0
10,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,33965389,,,0
11,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,973356,,,0
12,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,12387193,,,4
13,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6298106,,,0
14,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2257964,,,0
