,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1800970,,,4
1,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,493634,,,4
2,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,276267,,,4
3,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,435649,,,4
4,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1430873717,,,4
5,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,27191069,,,0
6,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8922130,,,0
7,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,44698,,,0
8,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,16578295,,,0
9,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2626949427,,,0
10,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,53460195,,,4
11,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2377700,,,4
12,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,179395,,,0
13,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,49471937,,,0
14,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3047638266,,,0
15,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,9368854,,,0
16,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3265262,,,0
17,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,9242948,,,4
18,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,55825,,,4
19,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,209216027,,,4
20,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1116025,,,4
21,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,357433,,,4
22,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,800365,,,4
23,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2900189,,,4
24,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,133586042,,,4
25,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,75208,,,4
26,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,473928688,,,4
27,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,1293498,,,0
28,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,110223937,,,0
29,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,88389393,,,0
30,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,78903002,,,0
31,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,2193257547,,,4
32,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,7103654,,,0
33,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,829323,,,0
34,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,577848,,,0
35,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,7949994,,,0
36,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,461373568,,,4
37,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,339990,,,0
38,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,113342,,,0
39,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,85916,,,0
40,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,2144757,,,4
41,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,842,USA,USA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,602618470,,,0
42,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,704,Viet Nam,VNM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,93787084,,,4
43,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,784,United Arab Emirates,ARE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,97240831,,,0
44,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,792,Turkey,TUR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,150443230,,,0
45,H5,2019,2019,2019,2,0,2,Export,124,Canada,CAN,826,United Kingdom,GBR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,120860975,,,0
