,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,73949,,,4
1,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1819870,,,4
2,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,136000,,,0
3,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,6414603,,,0
4,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,158234,,,0
5,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2025,,,0
6,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,142197404,,,0
7,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,60655286,,,0
8,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,98187621,,,0
9,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,329418857,,,0
10,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,17074307,,,0
11,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,18588899,,,4
12,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,76,Brazil,BRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,14000,,,0
13,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6248824,,,0
14,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,961126,,,0
15,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,8067311,,,4
16,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,76,Brazil,BRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,53767290,,,0
17,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,29598389,,,4
18,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,12566733,,,0
19,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,895845,,,0
20,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,124,Canada,CAN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2584384,,,0
21,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,36,Australia,AUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,60498616,,,0
22,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,56,Belgium,BEL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,48025147,,,0
