,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,358067,,,0
1,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4002285,,,0
2,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,109393,,,0
3,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2490393,,,0
4,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,32821092,,,0
5,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6432071,,,0
6,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,100349796,,,0
7,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2041475569,,,0
8,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,256804178,,,0
9,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,62236326,,,0
10,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,3541114,,,0
11,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,5356729,,,0
12,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,89385755,,,0
13,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,3193402,,,4
14,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,491127,,,0
15,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,3468,,,0
16,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,42509290,,,4
17,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,201860180,,,0
18,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,21204380,,,0
19,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1514262,,,0
20,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,61609,,,0
21,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2472589,,,0
22,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,110587567,,,0
23,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,6590828,,,0
24,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,87743,,,0
25,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,537793,,,0
26,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,109258714,,,0
27,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1275812537,,,0
28,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,774046758,,,0
29,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,8253157,,,0
30,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,1309580,,,0
31,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,21641815,,,0
32,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,142620677,,,4
33,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,318742146,,,0
34,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,11749684,,,0
35,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,162345,,,0
36,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,11898991,,,0
37,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,173285303,,,0
38,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,284416601,,,0
39,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,65537659,,,0
40,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1250246,,,0
41,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,35054345,,,0
42,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,346984,,,0
43,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1094,,,0
44,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,609799,,,4
45,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,30934413,,,0
46,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,64788126,,,0
47,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,3712919,,,0
48,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,3851766,,,0
49,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,20790950,,,0
50,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,340512406,,,4
51,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,63008853,,,0
52,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,25831939,,,4
53,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,372,Ireland,IRL,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,1365907,,,0
54,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,381,Italy,ITA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,33487616,,,0
55,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,392,Japan,JPN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,198600382,,,0
56,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,458,Malaysia,MYS,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,40456219,,,0
57,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,484,Mexico,MEX,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,64682279,,,0
