,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4942848,,,0
1,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,75544,,,4
2,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,518425,,,4
3,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,306116,,,0
4,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1922416,,,0
5,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2421945,,,0
6,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1387797271,,,4
7,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,680138549,,,0
8,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,162530521,,,0
9,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,88834325,,,0
10,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,231594142,,,0
11,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,19223744,,,0
12,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,104473,,,0
13,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,5890205,,,0
14,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,17123218,,,0
15,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,58946,,,0
16,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,30377226,,,0
17,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,81591803,,,0
18,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,99293344,,,0
19,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,50295264,,,4
20,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1136948,,,4
21,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,72133158,,,0
22,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2684479,,,0
23,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,40054303,,,0
24,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,215699,,,0
25,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1135078,,,0
26,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,534007095,,,0
27,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,56193302,,,0
28,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,99545418,,,0
29,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,13931393,,,0
30,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,375534702,,,0
31,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,30562691,,,4
32,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,29654480,,,0
33,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,112132294,,,0
34,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,616,Poland,POL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,7490082,,,0
35,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,324159365,,,0
36,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,55706842,,,4
37,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,490,"Other Asia, nes",,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,26811306,,,0
38,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,528,Netherlands,NLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,95339200,,,0
39,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,616,Poland,POL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,14066127,,,0
40,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,643,Russian Federation,RUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,66550090,,,0
41,H5,2019,2019,2019,2,0,2,Export,156,China,CHN,410,Rep. of Korea,KOR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,118905109,,,0
