,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24844,,,0
1,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,225624115,,,4
2,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,190687,,,0
3,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,839709,,,4
4,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1894077,,,0
5,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,747369,,,0
6,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,327173916,,,0
7,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,547515,,,0
8,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1687859,,,0
9,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,404218822,,,4
10,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,31884,,,0
11,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,147173923,,,0
12,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,733985,,,0
13,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,25306085,,,4
14,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,34161583,,,4
15,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,840337654,,,4
16,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,13910024,,,0
17,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,62705927,,,4
18,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,358864803,,,4
19,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,256172,,,4
20,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,17519149,,,4
21,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1580129,,,0
22,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,583824,,,0
23,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,19844446,,,0
24,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,98315,,,0
25,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,7190244,,,4
26,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,2059523,,,4
27,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1581369,,,4
28,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,688303,,,0
29,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,387738257,,,0
30,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,161827,,,0
31,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,5983295,,,4
32,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,4193107,,,0
33,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,311954,,,0
34,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,131910837,,,0
35,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,76,Brazil,BRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,847939,,,0
36,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,124,Canada,CAN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,1611270,,,0
37,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,156,China,CHN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,7083563,,,0
38,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,36,Australia,AUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,13965294,,,0
39,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,56,Belgium,BEL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,145560213,,,0
