,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1592063,,,0
1,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32434,,,4
2,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,327651526,,,4
3,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24772087,,,4
4,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1005649,,,4
5,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,101010706,,,0
6,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,6061465,,,0
7,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,156095539,,,0
8,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,76319837,,,4
9,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2909663,,,0
10,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,356746,,,0
11,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3750318,,,4
12,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,266669468,,,0
13,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,94007177,,,4
14,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,4971428,,,0
15,H5,2019,2019,2019,2,0,2,Export,251,France,FRA,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,72683732,,,4
