,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,10721589,,,4
1,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,52362115,,,4
2,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3146086,,,0
3,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,425607,,,0
4,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,20235028,,,0
5,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,92169377,,,4
6,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1119168789,,,4
7,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,141370803,,,0
8,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,18450578,,,0
9,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,476121,,,0
10,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,9425010,,,0
11,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,106116666,,,4
12,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,13455251,,,0
13,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,322561,,,0
14,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,82130517,,,4
15,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1521105268,,,4
16,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,100771562,,,0
17,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,39972738,,,4
18,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,8666649,,,0
19,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2393445,,,4
20,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,29203616,,,4
21,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,10796011,,,4
22,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1192955,,,0
23,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,484,Mexico,MEX,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,45200,,,0
24,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,4039632,,,4
25,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,36426501,,,4
26,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,613091,,,4
27,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,38566,,,0
28,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,484,Mexico,MEX,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,145611,,,4
29,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1386358,,,4
30,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,90059179,,,4
31,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,912282,,,0
32,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,458,Malaysia,MYS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,2513598,,,0
33,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,484,Mexico,MEX,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,16435,,,0
34,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,372,Ireland,IRL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,19393654,,,4
35,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,381,Italy,ITA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,148698536,,,4
