,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4198,,,0
1,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3942574,,,0
2,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5235408,,,0
3,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,16748099,,,4
4,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,117706940,,,0
5,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,29200867,,,0
6,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4938572,,,0
7,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4076799,,,0
8,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,376446106,,,0
9,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5620417,,,0
10,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2129875,,,0
11,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,3549609,,,4
12,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,769766,,,0
13,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,102791100,,,4
14,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,78804278,,,4
15,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,22871779,,,0
16,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,69243361,,,0
17,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3807044,,,4
18,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,445998968,,,4
19,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,67991376,,,4
20,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,9301380,,,0
21,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,82300,,,0
22,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1972554,,,4
23,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,34357401,,,4
24,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,20393257,,,4
25,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,7650,,,0
26,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,173261,,,0
27,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,644290,,,0
28,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,52534771,,,4
29,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,914605,,,0
30,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,1675540,,,4
31,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,3689983,,,4
32,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,3596106,,,0
33,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,41499799,,,4
34,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,20209014,,,0
35,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,363015,,,0
36,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,2174107,,,0
37,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,1377359,,,0
38,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,164167733,,,4
39,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,11056637,,,4
40,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,634044,,,4
41,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,784,United Arab Emirates,ARE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,5285037,,,4
42,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,792,Turkey,TUR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,10789706,,,4
43,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,826,United Kingdom,GBR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,132279886,,,4
44,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,842,USA,USA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,315612044,,,4
45,H5,2019,2019,2019,2,0,2,Export,276,Germany,DEU,704,Viet Nam,VNM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,22046,,,0
