,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,284,,,4
1,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,14,,,0
2,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,85,,,0
3,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2017615,,,4
4,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,111908838,,,0
5,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,351045,,,0
6,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,96246601,,,0
7,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1378028881,,,0
8,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,4956556,,,0
9,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,147722,,,0
10,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1772654,,,0
11,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6816,,,4
12,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,22287,,,0
13,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2341753,,,0
14,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3184624,,,0
15,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3074,,,4
16,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,7664997,,,0
17,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,2027268,,,0
18,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1198606,,,0
19,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,47986,,,0
20,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,3056844,,,0
21,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,378858,,,0
22,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,8119216,,,0
23,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,14463451,,,0
24,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,10571652,,,0
25,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,20831428,,,4
26,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,21112786,,,4
27,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,3182212,,,4
28,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,20563571,,,0
29,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,792153,,,0
30,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,12933732,,,4
31,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,10082896,,,0
32,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,51950464,,,4
33,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,52664852,,,4
34,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,13401763,,,0
35,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,40537749,,,4
36,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,444904354,,,4
37,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,60097375,,,4
38,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,9914066,,,0
39,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,18984,,,0
40,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,67680170,,,0
41,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,469241,,,0
42,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,12058105,,,4
43,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,216809,,,0
44,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,63276,,,0
45,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,9725768,,,4
46,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,3383023,,,0
47,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,17204615,,,0
48,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,20394998,,,0
49,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,8053289,,,4
50,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,30646613,,,0
51,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,46108738,,,4
52,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,15905263,,,4
53,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,4295135,,,4
54,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,8187725,,,4
55,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,13362552,,,0
56,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,96298853,,,4
57,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,576651,,,0
58,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,241955,,,0
59,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,13723,,,0
60,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,351118,,,0
61,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,9645240,,,0
62,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,8323403,,,4
63,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,16027071,,,0
64,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,6724001,,,0
65,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,4597598,,,4
66,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,399043236,,,4
67,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,122537,,,0
68,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,8836598,,,4
69,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,1439,,,0
70,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,31053853,,,0
71,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0.0,,1933677,,,0
72,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,2607737,,,0
73,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,2797977,,,0
74,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,410974,,,4
75,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,4696505,,,4
76,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0.0,,15051641,,,4
77,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,1178448,,,4
78,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,115048,,,0
79,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,7031363,,,0
80,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,390692,,,0
81,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0.0,,1208226,,,0
82,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,18068035,,,0
83,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,146413,,,0
84,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,37171,,,4
85,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,22882839,,,0
86,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0.0,,648143,,,0
87,H5,2019,2019,2019,2,0,2,Export,699,India,IND,36,Australia,AUS,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,18860859,,,4
88,H5,2019,2019,2019,2,0,2,Export,699,India,IND,56,Belgium,BEL,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,6163744,,,0
89,H5,2019,2019,2019,2,0,2,Export,699,India,IND,76,Brazil,BRA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,482168,,,0
90,H5,2019,2019,2019,2,0,2,Export,699,India,IND,124,Canada,CAN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,21320548,,,0
91,H5,2019,2019,2019,2,0,2,Export,699,India,IND,156,China,CHN,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0.0,,13074880,,,4
