,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,264231,,,0
1,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5064603,,,0
2,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3298909,,,0
3,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,26687,,,0
4,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,24457477,,,0
5,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,361778840,,,0
6,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,461272035,,,0
7,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,35756684,,,0
8,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,147039,,,0
9,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,7565252,,,0
10,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,47610942,,,0
11,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,56547645,,,0
12,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1007617,,,0
13,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,575394,,,0
14,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,38647393,,,0
15,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,724552993,,,0
16,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,717764794,,,0
17,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,8533178,,,0
18,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,3786523,,,4
19,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,203,Czechia,CZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,9951419,,,0
20,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,16289320,,,0
21,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,12373351,,,0
22,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2774211,,,4
23,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1213704,,,4
24,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,9893908,,,0
25,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,209251053,,,0
26,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,177390153,,,0
