,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,59133,,,0
1,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,829486,,,0
2,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2964929,,,0
3,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,191431,,,0
4,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,13022280,,,0
5,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4375428,,,0
6,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,76603,,,0
7,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,153487182,,,0
8,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,122856611,,,0
9,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,134713,,,0
10,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,549947,,,0
11,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,122500,,,0
12,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,5758817,,,0
13,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1601595,,,0
14,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1330387,,,0
15,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,17003297,,,0
16,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6354463,,,0
17,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,340926626,,,0
18,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,383688031,,,0
19,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,5544592,,,0
20,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,39323,,,0
21,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1642838,,,0
22,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2777036,,,4
23,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2708002,,,4
24,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,169503,,,0
25,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,707411,,,0
26,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,5743794,,,0
27,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,48559882,,,0
28,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,16073472,,,0
29,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,47880,,,0
30,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3591845,,,0
31,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3177335,,,0
32,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,99861100,,,0
33,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,39357800,,,0
34,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,110980,,,0
35,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,27023603,,,0
36,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,1708411,,,0
37,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,188982656,,,0
38,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,63181789,,,0
39,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1737475,,,0
40,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,15223200,,,0
41,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,5087729,,,0
42,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,84075471,,,0
43,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,112230546,,,0
44,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,18113,,,0
45,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1492617,,,0
46,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,27468626,,,0
47,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,52786246,,,0
48,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,13647803,,,0
49,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,1835446,,,0
50,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,2198419,,,0
51,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,2262578,,,0
52,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,32592817,,,0
53,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,41228055,,,0
54,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,2651359,,,0
55,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,75657855,,,0
56,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,9298841,,,0
57,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,12430524,,,0
58,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,7714886,,,4
59,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,7335781,,,0
60,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,1119881,,,0
61,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,5240087,,,0
62,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,10018459,,,0
63,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,50110152,,,0
64,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,24716,,,0
65,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,60601,,,0
66,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,288245,,,0
67,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,1464539,,,0
68,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,2888521,,,0
69,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,4298101,,,0
70,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,1798641,,,0
71,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,89765112,,,0
72,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,498408296,,,4
73,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,612532,,,0
74,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,6000677,,,0
75,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,315631,,,0
76,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,107781320,,,0
77,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,32365399,,,0
78,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,580538,,,0
79,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,5725248,,,0
80,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,3819212,,,0
81,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,17529807,,,0
82,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,22605813,,,4
83,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,243523,,,0
84,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,29197266,,,0
85,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,18623078,,,0
86,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,153597568,,,0
87,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,63297247,,,0
88,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,5633797,,,0
89,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,32921610,,,0
90,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,14830095,,,0
91,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,612014601,,,0
92,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,639875891,,,0
93,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,1811527,,,0
94,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,24445307,,,0
95,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,2436780,,,0
96,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,504866071,,,0
97,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,303474934,,,0
98,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,704,Viet Nam,VNM,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,5391809,,,0
99,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,784,United Arab Emirates,ARE,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,23684768,,,0
100,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,792,Turkey,TUR,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,36481886,,,0
101,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,826,United Kingdom,GBR,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,221173422,,,0
102,H5,2019,2019,2019,2,0,2,Export,381,Italy,ITA,842,USA,USA,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,280028056,,,0
