,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,201805656,,,4
1,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2033,,,4
2,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,50,Bangladesh,BGD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2206773,,,4
3,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,96,Brunei Darussalam,BRN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1851729,,,4
4,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,104,Myanmar,MMR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1033197,,,4
5,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,116,Cambodia,KHM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,67386,,,4
6,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,25130,,,4
7,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,349167,,,4
8,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,10459,,,4
9,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,13080,,,4
10,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,82509,,,4
11,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,300,Greece,GRC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1431,,,4
12,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,38601,,,4
13,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,97153,,,4
14,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,368,Iraq,IRQ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,16331,,,4
15,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,901751,,,4
16,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,400,Jordan,JOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,13305,,,4
17,H5,2019,2019,2019,2,0,2,Export,458,Malaysia,MYS,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,6702,,,4
