,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2562789,,,4
1,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,36079923,,,4
2,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1004401825,,,4
3,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,337242,,,0
4,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,928360,,,0
5,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,111505079,,,4
6,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,837163401,,,4
7,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2033804047,,,0
8,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,135155572,,,0
9,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,33548,,,0
10,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,13897740,,,4
11,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,291640603,,,4
12,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,559582800,,,0
13,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,3237194,,,0
14,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,66202,,,0
15,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,56260592,,,0
16,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,934389709,,,0
17,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2795650241,,,0
18,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,52033406,,,0
19,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1899718,,,0
20,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,5112806,,,4
21,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,61766732,,,0
22,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,117723058,,,0
23,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,37758005,,,0
24,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,80897,,,0
25,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,177004773,,,0
26,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1088365271,,,0
27,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,2950495564,,,0
28,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,14776750,,,0
29,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,699,India,IND,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,11225127,,,0
30,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,203,Czechia,CZE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,122738984,,,4
31,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,251,France,FRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,351268477,,,0
32,H5,2019,2019,2019,2,0,2,Export,528,Netherlands,NLD,276,Germany,DEU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,2623550684,,,0
