,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8223487,,,4
1,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,40,Austria,AUT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,647,,,0
2,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,50,Bangladesh,BGD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,206010,,,0
3,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24267,,,0
4,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2197753,,,0
5,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32,,,0
6,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,748234,,,4
7,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,11712,,,0
8,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,368,Iraq,IRQ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32291,,,0
9,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24137,,,0
10,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,50119,,,4
11,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,400,Jordan,JOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,35332,,,0
12,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,18151,,,0
13,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,156797,,,0
14,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,157897,,,0
15,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1098035,,,4
16,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,608,Philippines,PHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,130718,,,4
17,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5338,,,0
18,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,597195,,,0
19,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,315309,,,0
20,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,14495,,,0
21,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8962,,,0
22,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,15919,,,0
23,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2368820,,,0
24,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,860,Uzbekistan,UZB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5306,,,0
25,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,7303345,,,0
26,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,16,American Samoa,ASM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,11939,,,0
27,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,90,Solomon Isds,SLB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,31611,,,0
28,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,144,Sri Lanka,LKA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1811,,,0
29,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2037623,,,0
30,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,242,Fiji,FJI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,22649,,,0
31,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,258,French Polynesia,PYF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8768,,,0
32,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,288,Ghana,GHA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,21678,,,0
33,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,324,Guinea,GIN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,9642,,,0
34,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2089134,,,0
35,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,336341,,,0
36,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,46527,,,0
37,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,36271,,,0
38,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,480,Mauritius,MUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,7700,,,0
39,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5209,,,0
40,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,583,FS Micronesia,FSM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,26855,,,0
41,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,608,Philippines,PHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,452,,,0
42,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,686,Senegal,SEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8541,,,0
43,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1811,,,0
44,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2439550,,,0
45,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,710,South Africa,ZAF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,28635,,,0
46,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,46139,,,0
47,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,780,Trinidad and Tobago,TTO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,67106,,,0
48,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,858,Uruguay,URY,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5403,,,0
49,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,862,Venezuela,VEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8962,,,0
50,H5,2019,2019,2019,2,0,2,Export,490,"Other Asia, nes",,899,"Areas, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2976,,,0
