,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5900,,,0
1,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,13382,,,0
2,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9393,,,0
3,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5703794,,,0
4,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1011,,,0
5,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,43065,,,0
6,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,39032619,,,0
7,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2825198,,,0
8,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,39662364,,,0
9,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,487915,,,0
10,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,140,,,0
11,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2312975,,,0
12,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,74596,,,0
13,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,281,,,0
14,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,5916924,,,0
15,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3145,,,0
16,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,3024,,,0
17,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,74,,,0
18,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,42313,,,0
19,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,11957,,,0
20,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,699,India,IND,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,106269,,,0
21,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,203,Czechia,CZE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,31692,,,0
