,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4182,,,0
1,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5550,,,0
2,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1500,,,0
3,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4950,,,0
4,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,18746,,,0
5,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,22870643,,,0
6,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6224001,,,0
7,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,9187170,,,0
8,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2530866,,,0
9,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,84,,,0
10,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,613851,,,0
11,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,31293904,,,0
12,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,185,,,0
13,H5,2019,2019,2019,2,0,2,Export,410,Rep. of Korea,KOR,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1440163,,,0
