,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,968715,,,0
1,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,199559,,,0
2,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,18935629,,,0
3,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,143524,,,0
4,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1214769,,,0
5,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,254703334,,,0
6,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,49568982,,,0
7,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,130605977,,,0
8,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,243857261,,,0
9,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,24784035,,,0
10,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,8823573,,,0
11,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,42968893,,,0
12,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,18518044,,,0
13,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,10623283,,,0
14,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3131923,,,0
