,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,602693,,,0
1,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,51075,,,0
2,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,204361,,,0
3,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,433175,,,4
4,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,5879722,,,0
5,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,32460138,,,0
6,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,7911446,,,0
7,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,3810312,,,0
8,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1256255,,,0
9,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,23906389,,,0
10,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,13533056,,,0
11,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,12437474,,,0
12,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,29951012,,,0
13,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,523972,,,0
14,H5,2019,2019,2019,2,0,2,Export,724,Spain,ESP,757,Switzerland,CHE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,4672217,,,0
