,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,79123,,,4
1,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,455681,,,4
2,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5595,,,4
3,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,493050,,,0
4,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,36573,,,0
5,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2122946,,,0
6,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5868,,,0
7,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,6516,,,4
8,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,47316,,,0
9,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1549,,,0
10,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,44,,,4
11,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,76756798,,,4
12,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,10506076,,,0
13,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1553530,,,0
14,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1218539,,,0
15,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,88637,,,0
16,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1111825,,,4
17,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,484,Mexico,MEX,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,35714,,,0
18,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,531862,,,4
19,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,288,,,0
20,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,64480,,,4
21,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,100,,,0
22,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,1047209,,,4
23,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,33122,,,0
24,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,12822656,,,4
25,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,165230945,,,4
26,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,18562442,,,4
27,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,458,Malaysia,MYS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,926883,,,4
28,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,484,Mexico,MEX,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,10429324,,,0
29,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,790797,,,4
30,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,1,,,4
31,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,484,Mexico,MEX,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,25,,,0
32,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,246605,,,4
33,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,458,Malaysia,MYS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,7048,,,0
34,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,14017,,,4
35,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,122370,,,4
36,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,7388,,,4
37,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,458,Malaysia,MYS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,1169,,,0
38,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,639238,,,0
39,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,2657434,,,4
40,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,2389968,,,4
41,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,458,Malaysia,MYS,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,698951,,,4
42,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,484,Mexico,MEX,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,149364,,,4
43,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,48806,,,4
44,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,392,Japan,JPN,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2150,,,0
45,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,458,Malaysia,MYS,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,80,,,0
46,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,484,Mexico,MEX,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0.0,,70,,,4
47,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,372,Ireland,IRL,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,588919,,,0
48,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,381,Italy,ITA,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0.0,,4754864,,,4
