,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,128,,,4
1,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1205675,,,4
2,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,30696,,,4
3,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,563430,,,0
4,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,470643,,,0
5,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,605404,,,0
6,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,25389,,,0
7,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,315691,,,0
8,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,356,,,0
9,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1608419,,,0
10,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,233924,,,0
11,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,22284884,,,4
12,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,578412,,,0
13,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,35253974,,,0
14,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,833544,,,0
15,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,204328,,,4
16,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,368697,,,4
17,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,10,,,0
18,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1116,,,0
19,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,214593,,,4
20,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,248368,,,0
21,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,11,,,4
22,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,935215,,,4
23,H5,2019,2019,2019,2,0,2,Export,757,Switzerland,CHE,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,130002,,,4
