,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,286974,,,0
1,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,22005,,,0
2,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1942755,,,0
3,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4813092,,,0
4,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,104649,,,0
5,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2666,,,0
6,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,101627862,,,0
7,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,77392070,,,0
8,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1525,,,0
9,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6211,,,0
10,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,643958,,,0
11,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,456994,,,0
12,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1254189,,,0
13,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,918054,,,0
14,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,16687,,,0
15,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,8834,,,0
16,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1280831,,,0
17,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,136876,,,0
18,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,5617,,,0
19,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,844505,,,0
20,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,381,Italy,ITA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,30523215,,,0
21,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,392,Japan,JPN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,4252974,,,0
22,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,458,Malaysia,MYS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1818656,,,0
23,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,484,Mexico,MEX,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,91100,,,0
24,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,372,Ireland,IRL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,10321767,,,0
