,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5065,,,0
1,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,29378,,,0
2,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,15247851,,,0
3,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,324822,,,0
4,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,654662,,,0
5,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,346557,,,0
6,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2041597,,,0
7,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1255276,,,0
8,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,154408,,,0
9,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,40322416,,,0
10,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,748688,,,0
11,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,286815,,,0
12,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,70134680,,,0
13,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,2208973,,,0
14,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,724,Spain,ESP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,807477,,,0
15,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,757,Switzerland,CHE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,96252,,,0
16,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,764,Thailand,THA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1636383,,,0
17,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,126352,,,0
18,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,724,Spain,ESP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,289848,,,0
19,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,757,Switzerland,CHE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,127075,,,0
20,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,764,Thailand,THA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,606069,,,0
21,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1300933,,,0
22,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,702,Singapore,SGP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,5695,,,0
23,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,724,Spain,ESP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,355354,,,0
24,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,757,Switzerland,CHE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,45618,,,0
25,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,764,Thailand,THA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,624,,,0
26,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,30628186,,,0
27,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,702,Singapore,SGP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,29405,,,0
28,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,724,Spain,ESP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,2818854,,,0
29,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,757,Switzerland,CHE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,6956114,,,0
30,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,764,Thailand,THA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,162175,,,0
31,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,682,Saudi Arabia,SAU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,104987871,,,0
32,H5,2019,2019,2019,2,0,2,Export,792,Turkey,TUR,702,Singapore,SGP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,7651319,,,0
