,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,96548,,,4
1,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,19569627,,,4
2,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7083337,,,4
3,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3643273,,,4
4,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3849352,,,4
5,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,16406,,,0
6,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2445541,,,0
7,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,28697918,,,0
8,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1164593411,,,0
9,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,740995,,,0
10,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,245337,,,4
11,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,145840889,,,4
12,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,188170811,,,4
13,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,167229257,,,4
14,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,20675678,,,0
15,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,5604217,,,4
16,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,5944945,,,4
17,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,64081953,,,4
18,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,5902738,,,4
19,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1125563,,,4
20,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,6465534,,,4
21,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,17784600,,,4
22,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,85811798,,,4
23,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,12537480,,,4
24,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,,,6546,,,4
25,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,832637,,,4
26,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1586755,,,4
27,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1090927,,,4
28,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,595963,,,4
29,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,1275304,,,0
30,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,15632712,,,0
31,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,14225123,,,0
32,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,21476783,,,0
33,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,43122659,,,0
34,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,5010574,,,0
35,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,150926401,,,0
36,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,719709811,,,0
37,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,881388469,,,0
38,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,888705071,,,0
39,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,123185,,,0
40,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,10055191,,,0
41,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,18634017,,,0
42,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,5675993,,,0
43,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,3604634,,,0
44,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,150585,,,0
45,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,16589740,,,0
46,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,7119318,,,0
47,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,344,"China, Hong Kong SAR",HKG,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,19743601,,,0
48,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,699,India,IND,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,3963881,,,0
49,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,203,Czechia,CZE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,25961,,,0
