,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7036357,,,4
1,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,25145618,,,4
2,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8906642,,,4
3,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,51962491,,,4
4,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,233454211,,,0
5,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,114889684,,,0
6,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,26172759,,,0
7,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4021095,,,0
8,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,75240390,,,0
9,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,13185101,,,4
10,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1885358,,,0
11,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,36453626,,,4
12,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,150528728,,,4
13,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,44979670,,,4
14,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3770788,,,4
15,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,13754141,,,4
16,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,38795242,,,4
17,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1552360,,,4
18,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,4118818,,,4
19,H5,2019,2019,2019,2,0,2,Export,842,USA,USA,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,22632653,,,4
