,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4789791,,,0
1,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,46275,,,0
2,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,16724697,,,4
3,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5666584,,,0
4,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2068969,,,0
5,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3508337,,,0
6,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8635108,,,0
7,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,268178944,,,0
8,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,24065364,,,0
9,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,31520,,,0
10,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,23641330,,,0
11,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,45879484,,,0
12,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,94094867,,,0
13,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,31409241,,,0
14,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,111294,,,0
15,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3718661,,,4
16,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,2030624,,,0
