,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1693822,,,0
1,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,23781431,,,0
2,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3697725,,,0
3,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,37921381,,,0
4,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,8232469,,,0
5,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2063943,,,0
6,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,215330,,,4
7,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,49571972,,,0
8,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,11203784,,,0
9,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,11707543,,,4
10,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,2593066,,,0
11,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,396384501,,,0
12,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1449136,,,4
13,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,29401571,,,4
14,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,27901748,,,4
15,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,91791193,,,4
16,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,1436084,,,0
17,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,136064,,,0
18,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,269587,,,0
19,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3188564,,,4
20,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,12955,,,0
21,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,935797,,,0
22,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,22979,,,4
23,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,12844897,,,4
24,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,80702,,,0
25,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,7783912,,,0
26,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,3702335,,,4
27,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,2589818,,,4
28,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,239938,,,0
29,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,1169496,,,0
30,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,847035,,,0
31,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,3370238,,,0
32,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,704,Viet Nam,VNM,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,544194,,,0
33,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,784,United Arab Emirates,ARE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,7469349,,,0
34,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,792,Turkey,TUR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,3153064,,,0
35,H5,2019,2019,2019,2,0,2,Export,826,United Kingdom,GBR,842,USA,USA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,30652991,,,4
