,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,12155925,,,4
1,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,116,Cambodia,KHM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,483941,,,4
2,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,623,,,4
3,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6689285,,,4
4,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1367,,,4
5,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2248704,,,4
6,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9209,,,4
7,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,730,,,4
8,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,69089,,,4
9,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,810,,,4
10,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1051276,,,4
11,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,426038,,,4
12,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,414,Kuwait,KWT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,1250,,,4
13,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,418,Lao People's Dem. Rep.,LAO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,27267,,,4
14,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,7392,,,4
15,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4312,,,4
16,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2335,,,4
17,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,705,,,4
18,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,80000,,,4
19,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6940,,,4
20,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2580,,,4
21,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,818,Egypt,EGY,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2921,,,4
22,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,507,,,4
23,H5,2019,2019,2019,2,0,2,Export,704,Viet Nam,VNM,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1038642,,,4
