,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3418268,,,0
1,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,86377342,,,4
2,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,103359477,,,0
3,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,34376,,,0
4,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,114,,,0
5,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,88617390,,,0
6,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,740606702,,,0
7,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,688883631,,,0
8,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,15543811,,,4
9,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1113499,,,0
10,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,302088,,,0
11,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,95210012,,,0
12,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,44781429,,,0
13,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,34,,,0
14,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,23339646,,,4
