,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,705078,,,0
1,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4578230,,,0
2,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,302821413,,,4
3,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2585153,,,0
4,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,989058,,,0
5,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,35075,,,0
6,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,92352,,,0
7,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,513800482,,,0
8,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,400069293,,,0
9,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,174693895,,,0
10,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,5169585,,,0
11,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,32,,,0
12,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,23083819,,,0
13,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,12615817,,,0
14,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,852975452,,,0
15,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,58214227,,,0
16,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,7093289,,,0
17,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1539,,,0
18,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,25420,,,0
19,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,25248019,,,0
20,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1199447,,,0
21,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,88145,,,0
22,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,119993,,,0
23,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,15247,,,0
24,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,137883591,,,0
25,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,5400552,,,0
26,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1713292,,,0
27,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,1830673,,,0
28,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,796739,,,0
29,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,443241541,,,0
30,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,32428190,,,0
31,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3451113,,,0
32,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,245737,,,0
33,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,138938,,,0
34,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,367053967,,,0
35,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,23188402,,,0
36,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,20664669,,,0
37,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,2386835,,,0
38,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,401300,,,0
39,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,120579214,,,0
40,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,8165893,,,0
41,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,3583976,,,0
42,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,41448,,,0
43,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,26174,,,0
44,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,192748271,,,0
45,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4915718,,,0
46,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,1911,,,0
47,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,13670818,,,0
48,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,4544793,,,0
49,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,235616237,,,0
50,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,23113902,,,0
51,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,8782794,,,0
52,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,13513,,,0
53,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,46462,,,0
54,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,295779787,,,0
55,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,9436906,,,0
56,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,11415924,,,0
57,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,177313,,,0
58,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,171241,,,0
59,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,7357232,,,0
60,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,852977,,,0
61,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0,,568325,,,0
62,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,4,,,0
63,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,13526,,,0
64,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,8719024,,,0
65,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,1,No Quantity,,,0,,0,,19028,,,0
66,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,20553417,,,0
67,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,1193721,,,0
68,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,503585981,,,0
69,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,28013861,,,0
70,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,15,Animal or vegetable fats and oils and their cleavage products; prepared animal fats; animal or vegetable waxes,1,No Quantity,,,0,,0,,7783750,,,0
71,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,2011789,,,0
72,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,31078,,,0
73,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,464729586,,,0
74,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,4565840,,,0
75,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,16,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates; preparations thereof",1,No Quantity,,,0,,0,,2109831,,,0
76,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,14412464,,,0
77,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,1154037,,,0
78,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,193379947,,,0
79,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,11508057,,,0
80,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,17,Sugars and sugar confectionery,1,No Quantity,,,0,,0,,11770427,,,0
81,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,23606836,,,0
82,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,5433129,,,0
83,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,565686170,,,0
84,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,106180060,,,0
85,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,18,Cocoa and cocoa preparations,1,No Quantity,,,0,,0,,29300683,,,0
86,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,23404128,,,0
87,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,5621583,,,0
88,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,681842665,,,0
89,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,36271170,,,0
90,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",1,No Quantity,,,0,,0,,16297247,,,0
91,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,14494064,,,0
92,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,5166490,,,0
93,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,381529851,,,4
94,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,33201901,,,0
95,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,20,"Preparations of vegetables, fruit, nuts or other parts of plants",1,No Quantity,,,0,,0,,12988267,,,0
96,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,410,Rep. of Korea,KOR,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,13314499,,,0
97,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,490,"Other Asia, nes",,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,2179061,,,0
98,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,528,Netherlands,NLD,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,304152464,,,0
99,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,616,Poland,POL,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,23238712,,,0
100,H5,2020,2020,2020,2,0,2,Export,56,Belgium,BEL,643,Russian Federation,RUS,,,,,,,,21,Miscellaneous edible preparations,1,No Quantity,,,0,,0,,13056175,,,0
