,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,324396,,,4
1,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,239288,,,4
2,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,5318904,,,4
3,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,279691,,,4
4,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,6230846,,,0
5,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1286607,,,0
6,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,103208338,,,0
7,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,171606,,,0
8,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,58158582,,,0
9,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,7472748,,,4
