,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,23608,,,4
1,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,14803,,,4
2,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,11824621,,,4
3,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,80447,,,4
4,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4696150,,,0
5,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1297228273,,,4
6,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1338312,,,0
7,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,212376337,,,0
8,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,427298,,,0
9,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,381,Italy,ITA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,12795019,,,0
10,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,163051837,,,0
11,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1104631,,,0
12,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1028149,,,0
13,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,392,Japan,JPN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,26986502,,,0
14,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,458,Malaysia,MYS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,7340166,,,0
15,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,484,Mexico,MEX,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,3356484,,,4
16,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,372,Ireland,IRL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,32103,,,4
17,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,381,Italy,ITA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2643960,,,4
18,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,392,Japan,JPN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,5427526,,,4
