,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,950581,,,4
1,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,119508,,,4
2,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,770641,,,4
3,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,32034,,,4
4,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,14362796,,,4
5,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,145362474,,,0
6,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,71021700,,,0
7,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,6299024,,,0
8,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,91698,,,0
9,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,12809,,,0
10,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,77538806,,,0
11,H5,2020,2020,2020,2,0,2,Export,124,Canada,CAN,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,25420239,,,4
