,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,349271011,,,4
1,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,8,Albania,ALB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,20983,,,0
2,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,40,Austria,AUT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,52941354,,,0
3,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,48,Bahrain,BHR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,52047,,,0
4,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,50,Bangladesh,BGD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,423080,,,0
5,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,51,Armenia,ARM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,134299,,,0
6,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4213482,,,0
7,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,70,Bosnia Herzegovina,BIH,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,819508,,,0
8,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,358,,,0
9,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,100,Bulgaria,BGR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4262441,,,0
10,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,112,Belarus,BLR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,43170,,,0
11,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,85105,,,0
12,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,144,Sri Lanka,LKA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,31390,,,0
13,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1050,,,0
14,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,41117,,,0
15,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,170,Colombia,COL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1268,,,0
16,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,191,Croatia,HRV,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,14517898,,,0
17,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,196,Cyprus,CYP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,624985,,,0
18,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,208,Denmark,DNK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1655,,,0
19,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,233,Estonia,EST,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24250,,,0
20,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,234,Faeroe Isds,FRO,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8818,,,4
21,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,246,Finland,FIN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,59,,,0
22,H5,2020,2020,2020,2,0,2,Export,203,Czechia,CZE,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3107562,,,0
