,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1904597,,,0
1,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,62094171,,,0
2,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,33716,,,0
3,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,298092,,,0
4,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,34457569,,,0
5,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,452212903,,,0
6,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,60072410,,,0
7,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1987867,,,0
8,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,113995310,,,0
9,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,13641829,,,4
10,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,8651,,,0
11,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,27383752,,,0
12,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1118756685,,,0
13,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,37240411,,,0
14,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,15464014,,,4
15,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,1661807,,,0
16,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,28263426,,,0
17,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2756079,,,0
18,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,212050,,,4
19,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,473249,,,0
20,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,14895927,,,0
21,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,18142,,,0
22,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,699,India,IND,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,193092,,,0
23,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,203,Czechia,CZE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,47000420,,,0
24,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,276,Germany,DEU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,423875100,,,0
25,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,3258552,,,0
26,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,699,India,IND,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,7285,,,0
