,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,75686263,,,0
1,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1231545439,,,0
2,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1618389,,,0
3,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,370518,,,0
4,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2711620,,,0
5,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,17459681,,,0
6,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,595615750,,,0
7,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,79803835,,,0
8,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,490041,,,0
9,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,68802,,,0
10,H5,2020,2020,2020,2,0,2,Export,251,France,FRA,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,14942580,,,0
