,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,253252,,,0
1,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,444941,,,0
2,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,18634919,,,4
3,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,35040508,,,4
4,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,615324,,,0
5,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,15758767,,,0
6,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,207566055,,,0
7,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,106366608,,,0
8,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,10420841,,,0
9,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,4297,,,0
10,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,743338,,,0
11,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,60803501,,,4
12,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,68282664,,,4
13,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1253652,,,0
14,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,121412706,,,0
15,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,21836804,,,4
16,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,423577160,,,4
17,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,156731943,,,4
18,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,19362275,,,0
19,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,18648,,,0
20,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,533747,,,4
21,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,43279390,,,4
22,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,30747742,,,4
23,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,8028308,,,0
24,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,35192,,,0
25,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,48823,,,0
26,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,12097017,,,4
27,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,106865289,,,4
28,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,113149,,,0
29,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,6920207,,,0
30,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,638369,,,0
31,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,22412216,,,4
32,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,44100707,,,4
33,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,5255060,,,0
34,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,284499,,,0
35,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,88902,,,4
36,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,93876583,,,4
37,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,94690175,,,4
38,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,6941,,,0
39,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,7193044,,,4
40,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,2863311,,,4
41,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,157650778,,,4
42,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,125672674,,,4
43,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,341714,,,4
44,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,216594413,,,0
45,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,21033,,,0
46,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,43001174,,,4
47,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,57670437,,,0
48,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,2183,,,0
49,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,4905812,,,0
50,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,2794963,,,4
51,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,51034728,,,4
52,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,40985612,,,0
53,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,29794322,,,0
54,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,1559568,,,0
55,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,736980,,,0
56,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,30241378,,,4
57,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,106739304,,,4
58,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,764,Thailand,THA,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0.0,,7784609,,,0
59,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,682,Saudi Arabia,SAU,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,1432477,,,0
60,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,702,Singapore,SGP,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,8130213,,,4
61,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,724,Spain,ESP,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,32109418,,,4
62,H5,2020,2020,2020,2,0,2,Export,276,Germany,DEU,757,Switzerland,CHE,,,,,,,,13,"Lac; gums, resins and other vegetable saps and extracts",1,No Quantity,,,0,,0.0,,27821619,,,4
