,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,393750600,,,4
1,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,12,Algeria,DZA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1719848,,,0
2,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5282,,,0
3,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1900317,,,0
4,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,60,Bermuda,BMU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1369,,,0
5,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,570,,,0
6,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,100,Bulgaria,BGR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,106565,,,0
7,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1034061,,,0
8,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1196,,,0
9,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,191,Croatia,HRV,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5791,,,0
10,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,363642,,,0
11,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,208,Denmark,DNK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,726986,,,0
12,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,233,Estonia,EST,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6498,,,0
13,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,19851148,,,0
14,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3903475,,,0
15,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,300,Greece,GRC,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4329397,,,0
16,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3593,,,0
17,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,348,Hungary,HUN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,517591,,,0
18,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,352,Iceland,ISL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,114,,,0
19,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,376,Israel,ISR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2804,,,0
20,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,381,Italy,ITA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,16205332,,,0
21,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,398,Kazakhstan,KAZ,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3656918,,,0
22,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,404,Kenya,KEN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,171,,,0
23,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,13427,,,0
24,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,422,Lebanon,LBN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,212,,,0
25,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,434,Libya,LBY,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9168154,,,0
26,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,442,Luxembourg,LUX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,54534,,,0
27,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,285,,,0
28,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,470,Malta,MLT,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,8579,,,0
29,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,484,Mexico,MEX,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,114,,,0
30,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,504,Morocco,MAR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,58732,,,0
31,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,7917184,,,0
32,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,554,New Zealand,NZL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,741,,,0
33,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,579,Norway,NOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,512815,,,0
34,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,586,Pakistan,PAK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1483,,,0
35,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1299121,,,0
36,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,642,Romania,ROU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,171988,,,0
37,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,561,,,0
38,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,688,Serbia,SRB,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,432624,,,0
39,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,456,,,0
40,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,104874,,,0
41,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,703,Slovakia,SVK,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,642196,,,0
42,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,705,Slovenia,SVN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,11408,,,0
43,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,710,South Africa,ZAF,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1954,,,0
44,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,24484795,,,0
45,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,752,Sweden,SWE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,30333,,,0
46,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,323820,,,0
47,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1062,,,0
48,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,88646,,,0
49,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,788,Tunisia,TUN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,153734,,,0
50,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3391360,,,0
51,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,804,Ukraine,UKR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,114,,,0
52,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,270243698,,,4
53,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,20288907,,,0
54,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,0,World,WLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3639550609,,,4
55,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,24,Angola,AGO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,59439,,,0
56,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,28,Antigua and Barbuda,ATG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,47020,,,0
57,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,36117886,,,0
58,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,40,Austria,AUT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2859530,,,4
59,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,44,Bahamas,BHS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,24192,,,0
60,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,48,Bahrain,BHR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,443117,,,4
61,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,52,Barbados,BRB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,888188,,,0
62,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,86946586,,,0
63,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,60,Bermuda,BMU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,40558,,,0
64,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,100,Bulgaria,BGR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1129782,,,0
65,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,25619973,,,0
66,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,132,Cabo Verde,CPV,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1202887,,,0
67,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,152,Chile,CHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,105824,,,0
68,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,260819337,,,0
69,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,174,Comoros,COM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,36237,,,0
70,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,178,Congo,COG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,129296,,,0
71,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,180,Dem. Rep. of the Congo,COD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,295101,,,0
72,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,191,Croatia,HRV,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,722549,,,0
73,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,196,Cyprus,CYP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,285307,,,4
74,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,30023248,,,0
75,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,204,Benin,BEN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,287121,,,0
76,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,208,Denmark,DNK,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,92660417,,,0
77,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,226,Equatorial Guinea,GNQ,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,290452,,,0
78,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,233,Estonia,EST,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1441175,,,0
79,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,234,Faeroe Isds,FRO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,451132,,,0
80,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,246,Finland,FIN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3718508,,,0
81,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,348212121,,,4
82,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,258,French Polynesia,PYF,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1255434,,,0
83,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,266,Gabon,GAB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,358165,,,0
84,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,268,Georgia,GEO,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,72448,,,0
85,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,270,Gambia,GMB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,48092,,,0
86,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,226716377,,,4
87,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,288,Ghana,GHA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,13477751,,,0
88,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,300,Greece,GRC,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1452774,,,4
89,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,316,Guam,GUM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,58739,,,0
90,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,324,Guinea,GIN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,267379,,,0
91,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,332,Haiti,HTI,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,220637,,,0
92,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,56959107,,,0
93,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,348,Hungary,HUN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4594291,,,0
94,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,352,Iceland,ISL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3184,,,0
95,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,381,Italy,ITA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,206465592,,,4
96,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,384,Côte d'Ivoire,CIV,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3624563,,,0
97,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,388,Jamaica,JAM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2190427,,,0
98,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,56359756,,,0
99,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,400,Jordan,JOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,18468,,,0
100,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,9559050,,,0
101,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,414,Kuwait,KWT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,497737,,,0
102,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,428,Latvia,LVA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,202873,,,0
103,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,430,Liberia,LBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,618862,,,0
104,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,440,Lithuania,LTU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,1002320,,,0
105,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,442,Luxembourg,LUX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5780389,,,0
106,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,470,Malta,MLT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,6502431,,,0
107,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,508,Mozambique,MOZ,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,532103,,,0
108,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,516,Namibia,NAM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,31374,,,0
109,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,241261085,,,4
110,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,540,New Caledonia,NCL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,399801,,,0
111,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,554,New Zealand,NZL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,4694652,,,0
112,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,579,Norway,NOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,828878,,,0
113,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,598,Papua New Guinea,PNG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,80139,,,0
114,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,608,Philippines,PHL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,58006675,,,0
115,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,14542862,,,0
116,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,620,Portugal,PRT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,15359469,,,0
117,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,624,Guinea-Bissau,GNB,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,87834,,,0
118,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,634,Qatar,QAT,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,365667,,,0
119,H5,2020,2020,2020,2,0,2,Export,372,Ireland,IRL,642,Romania,ROU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2978704,,,0
