,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,392,Japan,JPN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,38778,,,0
1,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,209536,,,0
2,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,372,Ireland,IRL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,7689900,,,0
3,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,392,Japan,JPN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,68242521,,,0
4,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,458,Malaysia,MYS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,395118,,,0
5,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,484,Mexico,MEX,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,424734,,,0
6,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,372,Ireland,IRL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,761437,,,0
7,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,392,Japan,JPN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,433846,,,0
8,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,458,Malaysia,MYS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1544,,,0
9,H5,2020,2020,2020,2,0,2,Export,381,Italy,ITA,484,Mexico,MEX,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,51990,,,0
