,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,13408430,,,4
1,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,671073,,,4
2,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,2728,,,4
3,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5869,,,4
4,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,152,Chile,CHL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5165,,,4
5,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3552633,,,4
6,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,51996,,,4
7,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,122864,,,4
8,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,935937,,,4
9,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,360,Indonesia,IDN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,106729,,,4
10,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,372,Ireland,IRL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,353302,,,4
11,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3598601,,,4
12,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,458,Malaysia,MYS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,11391,,,4
13,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,884785,,,4
14,H5,2020,2020,2020,2,0,2,Export,392,Japan,JPN,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1604207,,,4
