,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3057619,,,0
1,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,244331,,,0
2,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,142462406,,,4
3,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,6672810,,,4
4,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8331030,,,0
5,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,10008277,,,0
6,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,43959399,,,0
7,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,238235801,,,0
8,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,28940119,,,0
9,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,9548468,,,0
10,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1168537,,,0
11,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1238095,,,0
12,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,724,Spain,ESP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,180215559,,,4
13,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,757,Switzerland,CHE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,97615353,,,0
14,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,3195650,,,0
15,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,172632514,,,0
16,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,52527503,,,0
17,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,724,Spain,ESP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,321634205,,,0
18,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,757,Switzerland,CHE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,74072188,,,0
19,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,764,Thailand,THA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,25422234,,,0
20,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,682,Saudi Arabia,SAU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,479201,,,0
