,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,871477,,,0
1,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8039461,,,0
2,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,226070,,,0
3,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,45430810,,,4
4,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,197970440,,,0
5,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,49358642,,,0
6,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,10534996,,,0
7,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1746834,,,0
8,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1226560810,,,0
9,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,43310947,,,0
10,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,6749832,,,0
11,H5,2020,2020,2020,2,0,2,Export,528,Netherlands,NLD,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,2349614,,,0
