,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3601015,,,4
1,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,13500,,,4
2,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,47411638,,,0
3,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,40824,,,4
4,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,113,,,0
5,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,303360721,,,0
6,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,360039598,,,4
7,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,956143650,,,0
8,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,141099209,,,0
9,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,61246023,,,4
10,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,153927555,,,0
11,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1027574469,,,4
12,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,192465,,,0
13,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,183930805,,,4
14,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,45244940,,,4
