,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1470,,,0
1,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,104,,,0
2,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5687940,,,0
3,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,7466840,,,0
4,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,57198,,,0
5,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,36960,,,0
6,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,395201368,,,0
7,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,90700,,,0
8,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,28,,,0
9,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,192801,,,0
10,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,27303945,,,4
11,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,7922121,,,0
12,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1843355,,,0
13,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,182293133,,,0
14,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,370304,,,4
15,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,489097,,,4
16,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,3217686,,,0
17,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,17792548,,,4
18,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2323451,,,0
19,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,135526,,,0
20,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,36359974,,,4
21,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,46043812,,,0
22,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,189046,,,0
23,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,155200,,,0
24,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,62710358,,,4
25,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,2905282,,,0
26,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,996369,,,4
27,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,59815,,,0
28,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,91104759,,,4
29,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,5076713,,,4
30,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1247110,,,4
31,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,1129737,,,0
32,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,85420616,,,4
33,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0,,17025910,,,4
34,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,65065799,,,0
35,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0,,4903810,,,0
36,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,15534337,,,0
37,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,490,"Other Asia, nes",,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,5101853,,,0
38,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,528,Netherlands,NLD,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,17516453,,,4
39,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,643,Russian Federation,RUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0,,3149446,,,0
40,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,410,Rep. of Korea,KOR,,,,,,,,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit, industrial or medicinal plants; straw and fodder",1,No Quantity,,,0,,0,,808277,,,0
