,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,163584,,,0
1,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2146,,,0
2,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2334450,,,4
3,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,65291,,,0
4,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3505,,,0
5,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,18429051,,,0
6,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,4633253,,,0
7,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,257749080,,,0
8,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,6477279,,,0
9,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,369671,,,0
10,H5,2020,2020,2020,2,0,2,Export,616,Poland,POL,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,861334,,,0
