,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8088,,,0
1,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,83,,,0
2,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,3266,,,0
3,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,466997,,,0
4,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,58032,,,0
5,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,80,,,4
6,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,19165,,,0
7,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,3663709,,,0
8,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,182868,,,0
9,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,7915844,,,4
10,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,260052166,,,0
11,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,952189,,,0
12,H5,2020,2020,2020,2,0,2,Export,410,Rep. of Korea,KOR,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1624595,,,4
