,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,19918,,,0
1,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,3047830,,,4
2,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5741178,,,4
3,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,373,,,0
4,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,514,,,0
5,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,49035217,,,4
6,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,12060248,,,4
7,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,35899,,,0
8,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,70,,,0
9,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,266542,,,0
10,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1863029,,,0
11,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,90026,,,0
12,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,401414,,,4
13,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,79176736,,,4
14,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,306551333,,,4
15,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6983705,,,4
16,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,102637,,,4
17,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,15350,,,4
18,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,11562947,,,4
19,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,16446346,,,4
20,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,22260,,,4
21,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,3601680,,,4
22,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,4590885,,,4
23,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,6396,,,0
