,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,195301,,,0
1,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,792,Turkey,TUR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,91,,,0
2,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,153019,,,4
3,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2299632,,,4
4,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,792,Turkey,TUR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2894,,,0
5,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,352,,,0
6,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,93,,,0
7,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,126408,,,0
8,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,258174,,,0
9,H5,2020,2020,2020,2,0,2,Export,757,Switzerland,CHE,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1911294,,,0
