,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,990,,,0
1,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,5530,,,0
2,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,34906,,,4
3,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,892838,,,0
4,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,683,,,0
5,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,97,,,0
6,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,12755730,,,0
7,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,148793252,,,0
8,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,75691,,,0
9,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,186762,,,0
10,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,3064141,,,4
11,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,8591532,,,0
12,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,47045064,,,0
13,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1341305,,,0
14,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,6400,,,0
15,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,1361,,,4
16,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,164387,,,0
17,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,34019204,,,4
18,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,32878,,,0
