,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,12743,,,0
1,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,9228,,,0
2,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,6495,,,4
3,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,349,,,0
4,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,5499,,,0
5,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,19554713,,,0
6,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,5994,,,0
7,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,109433439,,,0
8,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,96506549,,,4
9,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,64688299,,,4
10,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,4533059,,,0
11,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,437237,,,4
12,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,13226253,,,4
13,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,349925,,,4
14,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,8418139,,,0
15,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,531088,,,0
16,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,641435,,,0
17,H5,2020,2020,2020,2,0,2,Export,764,Thailand,THA,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,3035362,,,0
