,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,204842,,,0
1,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4452,,,0
2,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,57512,,,0
3,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,170153,,,0
4,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,75,,,0
5,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,44451,,,0
6,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2814562,,,0
7,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,484568,,,0
8,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,6780814,,,0
9,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,12718962,,,0
10,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,246146,,,0
11,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,682278,,,0
12,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,651444,,,0
13,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,14791167,,,0
14,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,33,,,0
15,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,12151,,,0
16,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,200054,,,0
17,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,292518,,,0
18,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,367,,,0
19,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,4459109,,,0
20,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,14601992,,,0
21,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,2338237,,,0
22,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,7471833,,,0
23,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,7184648,,,0
24,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,75870204,,,0
25,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,36018170,,,0
26,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,45826272,,,0
27,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,106703617,,,0
28,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,35527919,,,0
29,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,2976245,,,0
30,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,8918453,,,0
31,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,3261492,,,0
32,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,7793373,,,0
33,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,9186116,,,0
34,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,46669,,,0
35,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,4884897,,,0
36,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,252603,,,0
37,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,1890,,,0
38,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,36,Australia,AUS,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,1095389,,,0
39,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,56,Belgium,BEL,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,596817,,,0
40,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,76,Brazil,BRA,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,42257,,,0
41,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,124,Canada,CAN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,644603,,,0
42,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,156,China,CHN,,,,,,,,11,"Products of the milling industry; malt, starches, inulin, wheat gluten",1,No Quantity,,,0,,0.0,,1270951,,,0
