,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,40266,,,0
1,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,376413,,,0
2,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,52101,,,0
3,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,28593,,,0
4,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,275714,,,0
5,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,5441,,,0
6,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,641538,,,0
7,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,16223512,,,0
8,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,1331892,,,0
9,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,133174630,,,0
10,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,3114244,,,0
11,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,131961079,,,0
12,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,145486,,,0
13,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,475762,,,0
14,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,555608,,,0
15,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,140328,,,0
16,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,8227065,,,0
17,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,304259,,,0
18,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,14679,,,0
19,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,655394,,,0
20,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,15,,,0
21,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,35738252,,,0
22,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1620803,,,0
23,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,233133,,,0
24,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,591003,,,0
25,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,31524,,,0
26,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,36595337,,,0
27,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,21244976,,,0
28,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,643,Russian Federation,RUS,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,123896165,,,0
29,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,410,Rep. of Korea,KOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,3841755,,,0
30,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0,,2338249,,,0
