,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,704,Viet Nam,VNM,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,658,,,0
1,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,7976,,,0
2,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,37847,,,0
3,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,842,USA,USA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,121298,,,0
4,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,704,Viet Nam,VNM,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2286447,,,0
5,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,12054099,,,0
6,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,283018,,,0
7,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,842,USA,USA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,44409,,,0
8,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,704,Viet Nam,VNM,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,5385748,,,0
9,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,19775152,,,0
10,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,73793480,,,0
11,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,842,USA,USA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,33755891,,,0
12,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,704,Viet Nam,VNM,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,4592389,,,0
13,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,64623785,,,0
14,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,635374,,,0
15,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,842,USA,USA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,11398612,,,0
16,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,704,Viet Nam,VNM,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,3011999,,,0
17,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,252389,,,0
18,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,2349,,,0
19,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,842,USA,USA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0,,3759,,,0
20,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,208781,,,0
21,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,5789210,,,0
22,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,842,USA,USA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0,,1637248,,,0
23,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,704,Viet Nam,VNM,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,445851,,,0
24,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,784,United Arab Emirates,ARE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,22491152,,,0
25,H5,2020,2020,2020,2,0,2,Export,792,Turkey,TUR,826,United Kingdom,GBR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0,,38121894,,,0
