,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4373243,,,4
1,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,8084671,,,4
2,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,4321090,,,4
3,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,378540236,,,4
4,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,19671156,,,4
5,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,231786060,,,0
6,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,2626214,,,0
7,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1176958,,,0
8,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1429071333,,,0
9,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,3149611012,,,0
10,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,21489964,,,0
11,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,56,Belgium,BEL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,10337297,,,0
