,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,20984306,,,4
1,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4388280,,,4
2,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,4435471,,,4
3,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,,,205884,,,4
4,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2471263,,,4
5,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,2165581579,,,0
6,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,827641222,,,0
7,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,122691647,,,0
8,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,326664,,,0
9,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,6500,,,0
10,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,421655894,,,0
11,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,29328182,,,0
12,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,281951197,,,0
13,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,10518644,,,0
14,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,12170,,,0
15,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,325311614,,,4
16,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,109800141,,,4
17,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,8622981,,,4
18,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,85741,,,0
19,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,5473190,,,4
20,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,27513755,,,4
21,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,11176942,,,4
22,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,12269940,,,4
23,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,4042274,,,4
24,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,18242482,,,4
25,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1082175,,,4
26,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,49034,,,4
27,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,44145043,,,4
28,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,55939,,,4
29,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,20053,,,4
30,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,36984323,,,0
31,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,73631034,,,0
32,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,75730434,,,0
33,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,965136,,,0
34,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,774148741,,,0
35,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,490,"Other Asia, nes",,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,270883952,,,0
36,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,528,Netherlands,NLD,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,418227019,,,0
37,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,616,Poland,POL,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,29915362,,,0
38,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,643,Russian Federation,RUS,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,387746,,,0
39,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,410,Rep. of Korea,KOR,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,92052456,,,0
