,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,10089144,,,4
1,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,915327,,,4
2,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,707617,,,4
3,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,385438,,,4
4,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,15233340,,,4
5,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,10002398,,,0
6,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,67888213,,,0
7,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,724,Spain,ESP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,1051463,,,0
8,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,757,Switzerland,CHE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,8679738,,,0
9,H5,2020,2020,2020,2,0,2,Export,842,USA,USA,764,Thailand,THA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,7662317,,,0
