,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,15030712,,,4
1,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,373231,,,0
2,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,724,Spain,ESP,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,7273,,,0
3,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,757,Switzerland,CHE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,1771,,,0
4,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0,,2594,,,0
5,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,46889263,,,0
6,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0,,8,,,0
7,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,69273121,,,0
8,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,280473,,,0
9,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,764,Thailand,THA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0,,57661,,,0
10,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,682,Saudi Arabia,SAU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,227454015,,,0
11,H5,2020,2020,2020,2,0,2,Export,784,United Arab Emirates,ARE,702,Singapore,SGP,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0,,973958,,,0
