,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,36,Australia,AUS,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,25306657,,,0
1,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,56,Belgium,BEL,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2012679,,,0
2,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,76,Brazil,BRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,1862667,,,0
3,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,124,Canada,CAN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2918531,,,0
4,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,156,China,CHN,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,2395253,,,0
5,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,36,Australia,AUS,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,3350195,,,0
6,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,56,Belgium,BEL,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,100545827,,,0
7,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,76,Brazil,BRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,44905,,,0
8,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,124,Canada,CAN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,39208415,,,0
9,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,156,China,CHN,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,372692617,,,4
10,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,36,Australia,AUS,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,358638,,,0
