,pfCode,yr,period,periodDesc,aggrLevel,IsLeaf,rgCode,rgDesc,rtCode,rtTitle,rt3ISO,ptCode,ptTitle,pt3ISO,ptCode2,ptTitle2,pt3ISO2,cstCode,cstDesc,motCode,motDesc,cmdCode,cmdDescE,qtCode,qtDesc,qtAltCode,qtAltDesc,TradeQuantity,AltQuantity,NetWeight,GrossWeight,TradeValue,CIFValue,FOBValue,estCode
0,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,588882,,,0
1,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,85501921,,,0
2,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,21522028,,,0
3,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,39550722,,,0
4,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,01,Animals; live,1,No Quantity,,,0,,0.0,,749693,,,0
5,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,7840188,,,4
6,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,362588519,,,0
7,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,179545850,,,0
8,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,103906559,,,0
9,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,02,Meat and edible meat offal,1,No Quantity,,,0,,0.0,,111221,,,0
10,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,1385058,,,0
11,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,634793479,,,0
12,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,60839722,,,0
13,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,10716816,,,0
14,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1,No Quantity,,,0,,0.0,,168718,,,0
15,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,6144079,,,4
16,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,152750778,,,0
17,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,138826434,,,0
18,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,26464503,,,0
19,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included",1,No Quantity,,,0,,0.0,,1125669,,,0
20,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,656692,,,0
21,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,24055123,,,0
22,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,16179316,,,0
23,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,2431627,,,0
24,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,05,Animal originated products; not elsewhere specified or included,1,No Quantity,,,0,,0.0,,178672,,,0
25,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,471032,,,0
26,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,2364412,,,0
27,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,5176745,,,0
28,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,1334,,,4
29,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,06,"Trees and other plants, live; bulbs, roots and the like; cut flowers and ornamental foliage",1,No Quantity,,,0,,0.0,,967926,,,0
30,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,1665792,,,0
31,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,22766808,,,0
32,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,24857397,,,0
33,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,1889532,,,0
34,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,07,Vegetables and certain roots and tubers; edible,1,No Quantity,,,0,,0.0,,191187,,,0
35,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,1923323,,,0
36,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,45783861,,,0
37,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,28132274,,,0
38,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,3983448,,,0
39,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,08,"Fruit and nuts, edible; peel of citrus fruit or melons",1,No Quantity,,,0,,0.0,,18271,,,4
40,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,9147839,,,0
41,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,45007934,,,0
42,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,37093087,,,0
43,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,344,"China, Hong Kong SAR",HKG,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,4127006,,,0
44,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,699,India,IND,,,,,,,,09,"Coffee, tea, mate and spices",1,No Quantity,,,0,,0.0,,1027299,,,0
45,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,203,Czechia,CZE,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,377582,,,0
46,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,251,France,FRA,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,31194696,,,0
47,H5,2020,2020,2020,2,0,2,Export,826,United Kingdom,GBR,276,Germany,DEU,,,,,,,,10,Cereals,1,No Quantity,,,0,,0.0,,19836977,,,0
